,Date,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude
26,10-Jul-2021,Unprovoked,playing,F,9,Right foot bitten,N,1639," Spinner shark, 4'?",20210710,"USA Florida Bathtub Beach, Martin County",27.186242,-80.16036
27,10-Jul-2021,Unprovoked,spearfishing,M,36,Shark involvement prior to death not confirmed,Y,9999,Not Determined,20210710,"USA Florida 46 miles off Mayport, Duval County",0.0,0.0
28,10-Jul-2021,Unprovoked,wading,M,51,FATAL,Y,1350,Not Determined,20210710,BRAZIL Pernambuco Piedade,-8.1801557,-34.9203383
29,05-Jul-2021,Unprovoked,surfing,M,25,Left forearm broken & lacerated,N,1630,Not Determined,20210705,AUSTRALIA New South Wales Crescent Head,-31.1769749,152.9106663
30,04-Jul-2021,Unprovoked,standing,M,8,Puncture wound to calf,N,1600,2' to 3' shark,20210704,"USA Florida Ponce Inlet, Volusia County",29.0963729,-80.9369983
33,30-Jun-2021,Unprovoked,canoeing,M,15,Hand injured,N,0715,Not Determined,20210630,"USA California Catalina Island, Orange County",33.3878856,-118.4163103
35,27-Jun-2021,Unprovoked,swimming,F,7,Calf bitten,N,1130,Not Determined,20210627,"USA North Carolina Ocean Isle, Brunswick County",33.8877282,-78.4364471
36,26-Jun-2021,Unprovoked,swimming,M,38,Posterior right thigh bitten,N,0915,"White shark, 6' to 8'",20210626,"USA California Gray Whale Beach Cove State Beach, San Mateo County",37.5645993,-122.5139689
38,23-Jun-2021,Unprovoked,surfing,M,25,Lacerations to calf and ankle,N,1400,Not Determined,20210623,AUSTRALIA Western Australia Gum Tree Bay,-29.7844444,114.9622222
39,18-Jun-2021,Unprovoked,standing,M,12,Left arm bitten,N,1557,Not Determined,20210618,"USA Florida Bethune Beach, Volusia County",28.9491539,-80.83783000000001
40,17-Jun-2021,Unprovoked,swimming,M,14,"""superficial injuries:",N,1430,7' to 8' shark ,20210617,"USA Florida Grayton Beach State Park,   Walton County",30.3315271,-86.1571991
41,14-Jun-2021,Unprovoked,standing,M,12,Right calf bitten,N,9999,Not Determined,20210614,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
42,14-Jun-2021,Unprovoked,standing,M,71,Minor injury to right foot,N,9999,Not Determined,20210614,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
43,12-Jun-2021,Provoked,fishing,M,51,Calf bitten by hooked shark PROVOKED INCIDENT,N,9999,"Tope shark, 6'",20210612,ENGLAND West Sussex Littlehampton,50.811057,-0.5386609
44,11-Jun-2021,Unprovoked,snorkeling,M,10,Foot bitten,N,1100,"Bronze whaler shark, 2 m",20210611,AUSTRALIA Western Australia Five Fingers Reef,-23.1797459,113.7657069
45,25-May-2021,Provoked,spearfishing,M,,Presumed fatal  PROVOKED INCIDENT,Y,9999,Not Determined,20210525,NEW CALEDONIA Nouville CHS Beach,-22.2576696,166.3914303
46,23-May-2021,Unprovoked,swimming,M,26,Minor injuries to foot and ankle,N,9999,5' shark,20210523,"USA South Carolina Burkes Beach, Hilton Head, Beaufort County",32.1940526,-80.6976655
47,21-May-2021,Unprovoked,spearfishing,M,48,Lacerations to right hand and forearm,N,1120,Not Determined,20210521,AUSTRALIA Western Australia Quondong Beach,-17.580385,122.1571309
48,18-May-2021,Unprovoked,surfing,M,59,FATAL,Y,1115,"White shark, 4.5 m",20210518,AUSTRALIA New South Wales Turncurry Beach,-32.1521022,152.5052727
49,15-May-2021,Unprovoked,,M,35,2- to 3-inch cuts to posterior thigh,N,1645,5 to 8-ff shark,20210515,"USA Hawaii Kanaha Beach Park, Maui",20.8996987,-156.4405938
50,06-May-2021,Unprovoked,wading,F,21,Nick on foot,N,1130,Not Determined,20210506,"USA Florida Daytona Beach Shores, Volusia County",29.1760933,-80.9828323
51,03-May-2021,Unprovoked,surfing,M,14,Lacerations to shin and calf,N,1600,5.5 ft shark,20210503,"USA Hawaii Marine Corps Base, Oahu",21.4433045,-157.7489524
52,01-May-2021,Unprovoked,spearfishing,M,53,FATAL,Y,0800,Not Determined,20210501,"JAMAICA Westmoreland Parish Little Bay, Little London",18.2211586,-78.2689714
53,30-Apr-2021,Unprovoked,surfing,F,64,Foot bitten,N,0900,Not Determined,20210430,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
54,29-Apr-2021,Unprovoked,boarding,M,54,Right leg bitten,N,1030,Not Determined,20210429,"USA Florida Vero Beach, Indian River County",27.6399823,-80.39815159999999
55,24-Apr-2021,Unprovoked,canoeing,M,25,"No injury, canoe bitten",N,0815,Not Determined,20210424,FRENCH POLYNESIA Tahiti Tautira,-17.7496214,-149.1611957
57,20-Apr-2021,Unprovoked,swimming,F,57,Puncture wound to knee,N,0856,Tiger shark,20210420,USA Hawaii Kukio Bay,19.8219841,-155.9995173
58,19-Apr-2021,Unprovoked,no activity,M,,Laceration to foot,N,1540,Not Determined,20210419,AUSTRALIA Western Australia Karratha,-20.7336955,116.8447057
59,17-Apr-2021,Provoked,tagging,Not Determined,,"No injury to occupants, shark bit boat after being tagged",N,9999,"Mako shark, 4 juvenile",20210417,USA North Carolina Outer Banks,35.5584932,-75.4665158
60,14-Apr-2021,Unprovoked,spearfishing,M,38,Minor injury to head,N,1800,1.3m shark,20210414,SOUTH AFRICA KwaZulu-Natal Mdloti,-29.666927,31.1180517
61,13-Apr-2021,Unprovoked,boarding,M,38,FATAL,Y,1100,White shark,20210413,SOUTH AFRICA Eastern Cape Province Chintsa,-32.823269,28.1151939
62,02-Apr-2021,Unprovoked,swimming,M,36,1-inch cut to leg,N,9999,Not Determined,20210403,"USA Florida Key Biscayne, Miami-Dade County",25.693713,-80.1628248
63,30-Mar-2021,Unprovoked,no activity,M,,Cuts to both feet,N,1300,Not Determined,20210330,"USA Florida Vero Beach, Indian River County",27.6399823,-80.39815159999999
64,27-Mar-2021,Unprovoked,spearfishing,M,27,Injury to calf,N,1200,"Whaler or bull shark, 2m",20210327,AUSTRALIA Western Australia Near Coral Bay,-23.1422976,113.7723112
65,26-Mar-2021,Unprovoked,swimming,M,10,Not Determined,N,9999,Not Determined,20210326,FRENCH POLYNESIA Marquesas Ua Pou,-9.4042642,-140.0803953
66,25-Mar-2021,Unprovoked,no activity,F,16,"Injuries to hands, arm and knees",N,1145,3' to 5' shark,20210325,USA Florida Indian River County,27.6947732,-80.54384499999999
67,25-Mar-2021,Unprovoked,swimming,M,7,Lacerations to right hand,N,9999,  ,20210325,"USA Florida Fort Lauderdale, Broward County",26.1224386,-80.13731740000001
68,21-Mar-2021,Unprovoked,surfing,M,9,Left shoulder bitten,N,1400,Not Determined,20210321,"USA Florida Miami Beach, Miami-Dade County",25.790654,-80.1300455
69,20-Mar-2021,Unprovoked,boarding,M,75,"No injury, board bitten",N,1500,"Blacktip whaler,      Carcharhinus tilstoni, 2m",20210320,AUSTRALIA Western Australia Yallingup,-33.6726467,115.0308277
70,18-Mar-2021,Unprovoked,wading,M,20,Left forearm bitten,N,1800,"Blacktip shark, 6'",20210318,"USA Florida Juno Beach, Palm Beach County",26.8797819,-80.0533743
71,02-Mar-2021,Unprovoked,spearfishing,M,16,Left leg bitten,N,1800,Tiger shark,20210302,NEW CALEDONIA Loyalty Islands Ouvéa,-20.6543997,166.5353028
73,20-Feb-2021,Provoked,fishing,M,,Superficial wound       PROVOKED INCIDENT,N,1730,"Bull shark, 80cm",20210221,AUSTRALIA Queensland Waterford West,-27.6860709,153.1205271
74,06-Feb-2021,Unprovoked,surfing,M,,"No injury, surfboard bitten",N,1630,Not Determined,20210206,"USA Hawaii Waiokapua Bay, Kaui",22.0083333,-159.7791667
77,29-Jan-2021,Unprovoked,swimming,F,46,Puncture wounds to foot,N,1030,Not Determined,20210129,"AUSTRALIA Western Australia Melaleuca Beach, Cowaramup Bay, Gracetown, ",-33.86060250000001,114.9857991
78,27-Jan-2021,Unprovoked,swimming,M,61,Minor puncture wound to arm,N,2000,Juvenile shark,20210127,"NEW ZEALAND North Island Papamoa Beach, Bay of Plenty",-37.7329778,176.298309
79,23-Jan-2021,Unprovoked,swimming,M,58,Severe lacerations to left arm ,N,1500, ,20210123,AUSTRALIA New South Wales Lake Macquarie,-33.0311225,151.5603244
81,22-Jan-2021,Unprovoked,snorkeling,M,73,Puncture wounds to left calf,N,0745,"8"" shark",20210122,USA Hawaii Maui,20.7983626,-156.3319253
82,21-Jan-2021,Unprovoked,snorkeling,M,32,FATAL,Y,1700,White shark,20210121,AUSTRALIA South Australia Port MacDonnell,-38.0521936,140.701759
84,13-Jan-2021,Unprovoked,swimming,M,54,Severe injury to leg and broken him,N,0758,"Bull shark, 6.5 to 10 '",20210113,AUSTRALIA Western Australia Blackwall Reach,-32.0245847,115.7798646
85,11-Jan-2021,Unprovoked,swimming,M,7,Injury to leg,N,1740,Not Determined,20210111,AUSTRALIA Victoria 13th Beach,-38.2852436,144.4587149
86,09-Jan-2021,Unprovoked,swimming,F,26,"Severe injury to left leg, resulting in amputation above the knee",N,0900,Not Determined,20210109,ST KITTS / NEVIS The Narrows Booby Island,17.2333333,-62.6
87,07-Jan-2021,Unprovoked,swimming,F,19,FATAL,Y,1710,Not Determined,20210107,"NEW ZEALAND North Island Waih?  Beach, Bay of Plenty",-37.4076175,175.9356284
88,03-Jan-2021,Unprovoked,surfing,M,19,"No injury, board damaged",N,1030,Not Determined,20210103,"USA Florida Cocoa Beach, Brevard  County",28.3200067,-80.6075513
89,02-Jan-2021,Unprovoked,surfing,M,17,1.5 cut to ankle,N,1030,Not Determined,20210102,"USA Florida Cocoa Beach, Brevard  County",28.3200067,-80.6075513
90,02-Jan-2021,Unprovoked,swimming,F,68,Significant injury to right lower leg,N,0800,Not Determined,20210102,"USA Hawaii Anaehoomalu Bay
Waikoloa, Hawaii County",19.9161242,-155.8932242
91,30-Dec-2020,Unprovoked,swimming,M,,No injury. Swim fin bittten,N,1800,White shark,20201230,"USA California Coronado, San Diego County",32.6858853,-117.1830891
92,23-Dec-2020,Unprovoked,fell,M,40,Injuries to leg,N,0936,Not Determined,20201223,MALDIVES Raa Atoll Faadoo Island,5.8570104,72.99255889999999
94,09-Dec-2020,Unprovoked,surfing,M,,"No injury, Board bitten",N,0700,Not Determined,20201209,AUSTRALIA Western Australia Cable Beach,-17.9319444,122.2080556
95,08-Dec-2020,Unprovoked,surfing,M,56,FATAL,Y,0745,"Tiger shark. 14'3""",20201208,USA Hawaii Honolua Bay,21.0139474,-156.638533
96,06-Dec-2020,Unprovoked,surfing,M,20,Non-life-threatening to left lower leg & foot,N,1520,Not Determined,20201206,"USA Oregon Seaside Cove, Clatsop County",45.97489880000001,-123.9424796
97,06-Dec-2020,Unprovoked,surfing,M,29,Non-life-threatening injuries to buttock and thigh,N,1420,White shark,20201206,AUSTRALIA South Australia DEstrees Bay near Kangaroo Island,0.0,0.0
98,02-Dec-2020,Unprovoked,diving,F,42,Left shoulder bitten,N,9999,Oceanic whitetip shark,20201206,EGYPT South Sinai Marsa Alam,27.9654198,34.3617769
99,26-Nov-2020,Unprovoked,snorkeling,F,35,Severe injury to torso,N,1400,Not Determined,20201126,USA Hawaii Maui,20.7983626,-156.3319253
100,23-Nov-2020,Unprovoked,snorkeling,F,,Three 3-inch lacerations to thigh,N,9999,"Tiger shark, 4m ",20201123,NEW CALEDONIA South Province St. Vincent Bay,-21.9650203,166.1203982
101,22-Nov-2020,Unprovoked,boarding,M,59,FATAL,Y,0840,Bull shark,20201122,AUSTRALIA Western Australia Cable Beach,-17.9319444,122.2080556
102,02-Nov-2020,Unprovoked,surfing,M,13,"Minor injury to left foot, leg and finger",N,0600,Not Determined,20201102,"AUSTRALIA New South Wales Town Beach, Port Macquarie",-31.42946499999999,152.9193046
103,31-Oct-2020,Unprovoked,swimming,M,17,Minor injuries,N,1600,"Blacktip shark, 6' to 7'",20201031,USA Florida Ormond Beach,29.2858129,-81.0558894
104,30-Oct-2020,Unprovoked,spearfishing,M,,Hand/wrist bitten,N,9999,"""Reef shark""",20201030,BAHAMAS  Grand Bahama Island East End Point,26.5358584,-77.8447886
105,29-Oct-2020,Unprovoked,surfing,M,,Hand bitten,N,1300,Not Determined,20201029,"USA Franklin County, Florida St George Island",29.6584899,-84.8802444
106,25-Oct-2020,Unprovoked,snorkeling,Not Determined,,"Boy lost arm, dive guide lost leg, ",N,9999,Not Determined,20201025,"EGYPT South Sinai Shark Reef, Ras Muhammed",27.7420043,34.2347743
107,24-Oct-2020,Unprovoked,spearfishing,M,59,Severe injury to thigh,N,1200,Not Determined,20201024,AUSTRALIA Queensland Britomart Reef,-18.2348869,146.7342041
109,09-Oct-2020,Unprovoked,surfing,M,52,FATAL,Y,1045,4m shark,20201009,AUSTRALIA Western Australia Kelp Beds Beach (Kelpies),-27.6728168,121.6283098
110,07-Oct-2020,Unprovoked,surfing,M,31,Laceration to lower leg,N,1800,Blacktip shark,20201007,"USA Florida Miami Beach, Miami-Dade County",25.790654,-80.1300455
111,04-Oct-2020,Unprovoked,surfing,M,17,"No injury, knocked off board when shark grabbed his leg rope",N,1045,Bronze whaler 1.5m,20201004,"AUSTRALIA Western Australia Toms Surf break, Hamersley Pool, North Beach, Perth",-31.862616,115.7520862
112,29-Sep-2020,Provoked,no activity,M,,Minor lacerations to right foot when he stepped on the shark PROVOKED INCIDENT,N,9999,Small nurse shark,20200929,USA Florida Near Key Largo,25.0865151,-80.4472802
114,20-Sep-2020,Unprovoked,snorkeling,M,30,Severe bite to shoulder,N,1030,Bull shark,20200920,"USA Florida Sombero Key Light, Monroe County",24.6922645,-81.0855026
115,17-Sep-2020,Provoked,fishing,M,50,Arm bitten by hooked shark PROVOKED INCIDENT,N,1600,"""whitetip shark""",20200917,AUSTRALIA Queensland Fraser Island,-25.2398229,153.1325243
116,16-Sep-2020,Unprovoked,,M,,"No injury, board bitten",N,1800,White shark,20200916,AUSTRALIA New South Wales Cabarita Beach,-28.3289849,153.5698
118,15-Sep-2020,Unprovoked,surfing,M,15,Cuts to right hand and wrist,N,1045,Not Determined,20200915,"USA Florida Ponce Inlet, Volusia County",29.0963729,-80.9369983
119,15-Sep-2020,Unprovoked,surfing,M,25,Left arm bitten,N,0815,Not Determined,20200915,"USA Florida Melbourne Beach, Brevard County",28.0687742,-80.5595546
121,07-Sep-2020,Unprovoked,surfing,M,46,FATAL,Y,1700,"White shark, 3m",20200907,"AUSTRALIA Queensland Greenmount Beach, Coolangatta",-28.1639838,153.547601
122,06-Sep-2020,Unprovoked,snorkeling,F,70,Ankle bitten,N,1630,8' shark,20200906,USA Hawaii Puako,19.975,-155.8438889
125,30-Aug-2020,Unprovoked,surfing,M,12,Injury to right foot and ankle,N,1130,Not Determined,20200830,"USA South Carolina Folly Beach, Charleston County",32.6551798,-79.94036729999999
126,28-Aug-2020,Unprovoked,fishing,M,,"No injury, kayak damaged",N,1800,White shark,20200828,"USA California Shelter Cove, Humboldt County",40.0304212,-124.0730866
127,23-Aug-2020,Unprovoked,standing,M,23,Minor injury to foot,N,1500,Not Determined,20200823,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
128,22-Aug-2020,Unprovoked,surfing,M,14,Lacerations to sole of left foot,N,0800,4' to 5' shark,20200822,"USA Florida St. Augustine Beach, Anastasia Island, St. Johns County",29.8439828,-81.2711546
129,20-Aug-2020,Unprovoked,boarding,F,50,Minor lacerations to left leg,N,1100,Not Determined,20200820,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
131,14-Aug-2020,Unprovoked,surfing,F,35,Lacerations to right calf and posterior thigh,N,0930,"White shark, 2-to 3m",20200814,"AUSTRALIA New South Wales Shelly Beach, Port Macquarie",-31.4540324,152.9314408
132,10-Aug-2020,Provoked,fishing,M,55,Injury to left forearm by hooked shark PROVOKED INCIDENT,N,1600,"Blacktip shark, 6'",20200810,"USA Florida Off Gasparilla Island, Charlotte County",26.7519472,-82.2624037
133,02-Aug-2020,Unprovoked,snorkeling,F,,Lacerations to hand and wrist,N,1400,"Nurse shark, 5'",20200802,"USA Virgin Islands Candle Reef, St. Croix",17.7613587,-64.6518801
134,31-Jul-2020,Unprovoked,surfing,F,22,Lacerations to foot ,N,1700,Not Determined,20200731,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
135,31-Jul-2020,Unprovoked,swimming,M,14,Lacerations to foot and toes,N,1300,Blacktip or Spinner shark,20200731,"USA Alabama Orange Beach, Baldwin County",30.2697033,-87.5867598
136,31-Jul-2020,Unprovoked,surfing,M,28,Lacerations to leg,N,1415,"White shark, 4m",20200731,AUSTRALIA Western Australia Bunker Bay Beach,-33.543638,115.030785
137,29-Jul-2020,Unprovoked,diving,M,38,Lower leg bitten,N,9999,"Lemon shark, 8'",20200729,USA Florida Florida Keys,25.0273356,-81.5357506
139,27-Jul-2020,Unprovoked,swimming,M,4,Leg bitten,N,1800,"Blacktip reef shark, juvenile",20200727,FRENCH POLYNESIA Tuamotu Islands Tikehau,-15.0083959,-148.1757902
140,27-Jul-2020,Unprovoked,swimming,F,63,FATAL,Y,1559,"White shark, 11'?",20200727,"USA Maine Bailey Island, Cumberland County",43.7366927,-69.9940654
141,23-Jul-2020,Unprovoked,spearfishing,M,23,Lacerations to legs,N,1200,"Reef shark, 5' to 6 '",20200723,USA Bahamas Spanish Cay,26.9408454,-77.5268296
142,23-Jul-2020,Unprovoked,standing,M,11,Foot bitten,N,9999,Not Determined,20200723,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
143,22-Jul-2020,Unprovoked,treading,M,,Left calf & foot bitten,N,1730,Bull shark. 6.5',20200722,"USA North Carolina Neuse River, Craven County",35.0877672,-77.0564464
144,19-Jul-2020,Unprovoked,wading,F,12,Right leg bitten,N,1800,Not Determined,20200719,"USA Florida Cocoa Beach, Brevard  County",28.3200067,-80.6075513
145,17-Jul-2020,Unprovoked,fishing,M,10,"Lacerations to arm, head & chest",N,1330,White shark,20200717,AUSTRALIA Tasmania Off Stanley,-40.7597041,145.2960121
146,14-Jul-2020,Unprovoked,wading,F,14,Severe bite to right foot,N,9999,"Bull shark, 4' to 6'",20200714,"USA Florida Melbourne Beach, Brevard County",28.0687742,-80.5595546
147,13-Jul-2020,Unprovoked,snorkeling,F,29,Injury to lower left leg and ankle,N,1145,2 m shark,20200713,AUSTRALIA Queensland Fitzroy Island,-16.9336669,145.9943465
148,11-Jul-2020,Unprovoked,surfing,M,15,FATAL,Y,1430,"White shark, 2.5 m",20200711,AUSTRALIA New South Wales Wilsons Headland,-29.82553459999999,153.289463
149,10-Jul-202,Unprovoked,surfing,F,15,Minor injury to right foot,N,0800,Not Determined,20200710,"USA Florida Cocoa Beach, Brevard  County",28.3200067,-80.6075513
150,04-Jul-2020,Unprovoked,spearfishing,M,36,FATAL,Y,1400,Not Determined,20200704,AUSTRALIA Queensland Fraser Island,-25.2398229,153.1325243
151,22-Jun-2020,Unprovoked,playing,M,7,Cuts to lower leg,N,9999,Juvenile bull shark?,20200622,"USA Florida Homestead, Miami-Dade County",25.4687224,-80.4775569
152,20-Jun-2020,Unprovoked,surfing,M,16,Injury to thigh,N,1600,Not Determined,20200620,"USA North Carolina Salvo, Dare County",35.54018,-75.4729347
153,20-Jun-2020,Unprovoked,no activity,Not Determined,,Not Determined,N,9999,Not Determined,20200620,"BAHAMAS Exumas Pig Beach, Pig Island",24.183611,-76.456389
154,16-Jun-2020,Unprovoked,,F,,"No inury, ski damaged",N,1400,Not Determined,20200616,SOUTH AFRICA KwaZulu-Natal Umhlanga Rocks,-29.7330347,31.0592806
155,10-Jun-2020,Unprovoked,windsurfing,M,30,FATAL,Y,1800,Tiger shark,20200610,"NEW CALEDONIA South Province Plateau de Ricaudy, Nouméa",-22.3124345,166.4540133
156,07-Jun-2020,Unprovoked,surfing,M,60,FATAL,Y,1040,"White shark, 3.5 m",20200607,AUSTRALIA New South Wales Salt Beach near Kingscliff,-28.2776303,153.5776799
159,01-Jun-2020,Unprovoked,surfing,M,,Cut to index finger of hand,N,0830,Tiger shark?,20200601,"USA Hawaii Davidsons Beach, Kauai",21.9641667,-159.7088889
160,31-May-2020,Unprovoked,spearfishing,M,,Lacerations to left hand,N,9999,"Bull shark, 8'",20200531,BAHAMAS Abaco Islands NoName Cay,26.7747107,-77.3295708
161,30-May-2020,Unprovoked,spearfishing,M,18,"No injury, swim fin bitten",N,9999,Bull shark,20200530,AUSTRALIA Queensland Lucinda,-18.5281508,146.3314538
162,28-May-2020,Unprovoked,playing,M,12,Left foot bitten,N,9999,Bull shark,20200528,"THAILAND Muang district of Satun province,  Chebilang pier ",6.6237755,100.0673736
163,26 May 2020,Unprovoked,playing,M,9,Lacerations to both feet,N,9999,Angel shark,20200526,"SPAIN Canary Islands Famara Beach, Lanzarote",29.1155588,-13.5563449
164,17 May 2020,Unprovoked,snorkeling,Not Determined,,Leg bitten,N,9999,Blacktip shark,20200526,FRENCH POLYNESIA Tahiti Vallée Blanche,-17.5695978,-149.6193069
165,09-May-2020,Unprovoked,surfing,M,26,FATAL,Y,1330,White shark,20200509,"USA California Sand Dollar Beach, Santa Cruz County",35.9232476,-121.4686936
166,08-May-2020,Unprovoked,surfing,M,,Leg injured,N,1600,Not Determined,20200508,"AUSTRALIA Victoria Southside Beach, near Geelong",-38.3735964,144.2748394
167,01-May-2020,Unprovoked,swimming,F,57,2 lacerations to foot,N,1430,5' to 6' shark,20200501,"USA California Summerland, Santa Barbara County",34.4220518,-119.5981636
169,21-Apr-2020,Unprovoked,swimming,F,,Lacerations to foot,N,0800,Not Determined,20200421,AUSTRALIA New South Wales Killick Creek near Crescent Head,-31.175544,152.9697518
170,07-Apr-2020,Unprovoked,surfing,F,,Foot bitten,N,1000,"Bull shark, 6'",20200407,"USA Florida Cocoa Beach, Brevard  County",28.3200067,-80.6075513
171,06-Apr-2020,Unprovoked,swimming,M,23,FATAL,Y,1730,Not Determined,20200406,AUSTRALIA Queensland North West Island,-23.2950882,151.7078724
172,06-Apr-2020,Unprovoked,surfing,M,38,Right hand bitten,N,1000,6' shark,20200406,AUSTRALIA New South Wales Wamberal Beach,-33.4245269,151.4538927
173,27-Mar-2020,Unprovoked,,M,,"No injury, paddleboard bitten",N,1800,Not Determined,20200327,"USA California Pleasure Point, Santa Cruz County",36.9635135,-121.9648975
174,22-Mar-2020,Unprovoked,surfing,M,,Left foot bitten ,N,1220,Not Determined,20200322,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
175,22-Mar-2020,Unprovoked,surfing,M,,Left foot bitten when he jumped on the shark  PROVOKED INCIDENT,N,1050,Not Determined,20200322,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
176,21-Mar-2020,Unprovoked,no activity,F,,Arm injured,N,1200,Not Determined,20200321,AUSTRALIA Queensland Cairns,-16.9203476,145.7709529
178,02-Mar-2020,Unprovoked,spearfishing,M,26,Lacerations to right elbow,N,9999,Not Determined,20200302,"FIJI Vanua Levu Tawake, Cakaudrove",-16.246223,179.855944
179,22-Feb-2020,Unprovoked,surfing,M,60,"Minor injury, surfboard bitten",N,1130,White shark,20200222,NEW ZEALAND North Island Pauanui Beach,-37.016098,175.8676543
180,05-Feb-2020,Unprovoked,boarding,M,,"No injury, but paddleboard bitten",N,0940,Tiger shark,20200205,USA Maui Wailea,20.682848,-156.4429602
181,01-Feb-2010,Unprovoked,canoeing,M,,"No injury, but canoe was scratched",N,0630,Not Determined,20200201,FRENCH POLYNESIA Marquesas Ua Huka,-8.9077726,-139.5483671
183,17-Jan-2020,Unprovoked,surfing,M,59,Laceration ot left ankle and foot,N,0800,"""A small shark""",20200117,AUSTRALIA New South Wales Windang Beach,-34.5343248,150.8745658
184,16-Jan-2020,Unprovoked,surfing,F,13,Minor injury to lower leg,N,2030,Broadnose seven gill shark?,20200116,NEW ZEALAND Southland Oreti Beach,-46.4369169,168.2448936
185,13-Jan-2020,Unprovoked,surfing,M,26,Lacerations to foot,N,1433,Not Determined,20200113,"USA North Carolina Rodanthe, Dare County",35.600383,-75.4655882
186,12-Jan-2020,Unprovoked,swimming,M,75,Calf bitten,N,0715,Not Determined,20200112,THAILAND Phang Nga Province Nang Thong Beach,8.640981199999999,98.2470151
187,07-Jan-2020,Unprovoked,swimming,F,7,Lacerations to leg,N,1730,Lemon shark,20200107,AUSTRALIA Queensland North West Island,-23.2950882,151.7078724
188,05-Jan-2020,Unprovoked,diving,M,57,FATAL,Y,1300,White shark,20200105,AUSTRALIA Western Australia Cull Island / Esperance,-33.9221794,121.9032181
191,30-Dec-2019,Unprovoked,swimming,M,30,Minor injury to hand,N,1258,"Shovelnose ""shark"" which is a ray, not a shark)",20191230,AUSTRALIA Queensland North West Island,-23.2950882,151.7078724
192,28-Dec-2019,Unprovoked,swimming,F,45,Arm bitten,N,1900,Not Determined,20191228,SEYCHELLES Praslin Amitié Beach,-4.324790999999999,55.698296
193,26-Dec-2019,Unprovoked,spearfishing,M,33,FATAL,Y,1630,Not Determined,20191226,PAPUA NEW GUINEA Central Province Ragelapara reef ,-9.1360187,147.4627259
194,26-Dec-2019,Unprovoked,,M,,"No injury, shark bit surf ski",N,0700,Not Determined,20191226,"SOUTH AFRICA Eastern Cape Province Nahoon Beach, East London",-32.9859684,27.9446709
195,24-Dec-2019,Unprovoked,boarding,F,17,Laceration to thigh,N,1800,Not Determined,20191224,NEW ZEALAND Southland Oreti Beach,-46.4369169,168.2448936
196,21-Dec-2019,Unprovoked,surfing,M,37,Right leg bitten,N,1615,Not Determined,20191221,"USA California Santa Rosa Island, Ventura County",33.9773487,-120.0896313
199,06-Dec-2019,Unprovoked,,M,57,Arm bitten,N,0900,Not Determined,20191206,AUSTRALIA Western Australia Exmouth,-21.9323088,114.1278654
200,03-Dec-2019,Unprovoked,,M,57,"No injury, inflatable paddle board was bitten by the shark",N,1000,10'-12' tiger shark,20191203,"USA Hawaii Cove Park, Kihei, Maui",20.727318,-156.4499005
201,30-Nov-2019,Unprovoked,surfing,M,9,"No injury, knocked from his board by the shark",N,9999,Juvenile blacktip shark,20191130,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
202,30-Nov-2019,Unprovoked,snorkeling,M,30,Lacerations to foot,N,1800,Not Determined,20191130,AUSTRALIA Queensland Bargara,-24.8193603,152.4552931
206,14-Nov-2019,Provoked,feeding,M,9,Multiple lacerations to right arm,N,9999,5' blacktip shark,20191114,FRENCH POLYNESIA Moorea Afareitu Lagoonarium.,-17.5511682,-149.7763274
207,12-Nov-2019,Unprovoked,surfing,M,30,Lacerations to left foot,N,9999,4' to 5' blacktip shark,20191112,"USA Florida Cocoa Beach, Brevard  County",28.3200067,-80.6075513
208,11-Nov-2019,Unprovoked,snorkeling,M,23,Bite to right forearm,N,9999,Not Determined,20191111,MEXICO Baja  Magdalena Bay,24.583333,-112.0
210,06-Nov-2019,Unprovoked,surfing,F,,"No inury, knocked from board",N,0800,Juvenile white shark?,20191106,"USA California San Onofre, San Diego County ",33.3728077,-117.5656012
212,29-Oct-2019,Unprovoked,snorkeling,M,28,Raddons right foot was severed and Maggs sustained serious lacerations to his lower right leg.,N,1020,Tiger shark,20191029,"AUSTRALIA Queensland Off Airlie Beach, Whitsundays",-20.2677525,148.7155626
213,27-Oct-2019,Provoked,surfing,M,32,Minor cuts when he jumped off his board and landed on the shark. PROVOKED INCIDENT,N,1245,4' to 5' shark,20191027,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
215,17-Oct-2019,Unprovoked,surfing,M,17,"No injury, surfboard bitten",N,1730,7' shark,20191017,"AUSTRALIA Queensland Woorim Beach, Bribie Island,",-27.0610989,153.2015792
