,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude,avg_temp,precipitation,wind_speed,sea_level_pressure,na_wind_speed
2980,Provoked,diving,Not Determined,,Minor injury by captive shark PROVOKED INCIDENT,N,0955,7' female shark,16-Apr-1991,USA Maryland Baltimore Aquarium,39.3453368,-76.68768039999999,17.1,0.0,17.3,1016.3,False
2981,Unprovoked,collided,M,22.0,Right thigh,N,1100,1.2 m to 1.5 m [4' to 5'] shark,16-Apr-1991,"USA Florida South of Ponce Inlet, New Smyrna Beach, Volusia County",29.0963729,-80.9369983,,26.4,11.2,,False
2982,Unprovoked,sitting,M,,Deep lacerations to calf & ankle,N,1730,"""Shark had a very large girth""",03-Apr-1991,"USA Hawaii One'ula Beach Park, 'Ewa Beach, O'ahu",21.306613,-158.025335,23.2,0.0,10.8,1020.3,False
2983,Unprovoked,diving,M,18.0,Lacerations to arm & leg,N,9999,"Grey nurse shark, 2 m",03-Mar-1991,AUSTRALIA New South Wales Bass Point,-34.5959607,150.9018394,66.4,0.03,3.4,1024.4,False
2984,Unprovoked,surfing,M,38.0,Calf lacerated & board bitten,N,0930,5.5 m [18'] white shark,24-Feb-1991,"USA Oregon Neskowin, Tillamook County",45.1067722,-123.9842817,50.3,0.0,8.0,1023.8,False
2986,Unprovoked,swimming,M,35.0,"Hands, legs & buttocks lacerated",N,0810,Not Determined,19-Jan-1991,AUSTRALIA Queensland Mermaid Waters,-28.047778,153.421667,76.0,0.28,8.7,1010.2,False
2987,Unprovoked,,M,,"No injury, shark brushed ski",N,9999,4 m shark,09-Jan-1991,AUSTRALIA Western Australia Scarborough,-31.8943696,115.7576807,69.9,0.08,10.6,1013.7,False
2988,Unprovoked,surfing,M,22.0,Survived,N,9999,2 m shark,Jan-1991,AUSTRALIA Queensland Pelican Banks near Gladstone,-23.7833333,151.3,76.5,0.2,14.9,1008.8,False
2990,Unprovoked,swimming,M,26.0,"Abdomen, hip, leg & arm bitten",N,9999,1.5 m shark,28-Nov-1990,AUSTRALIA Queensland Nerang River,-28.0042318,153.3708292,74.4,0.17,7.2,1017.3,False
2991,Unprovoked,diving,F,,Leg bitten,N,1500,4 m to 5 m [13' to 16.5'] white shark,03-Nov-1990,"USA California Monastery Beach, Carmel Bay, Monterey County",36.5419364,-121.9529992,57.0,0.0,6.3,1022.0,False
2992,Unprovoked,surfing,M,24.0,"Ear, shoulder, arm, wrist & ear injured",N,0930,5' shark,01-Nov-1990,"USA Florida Spanish River Park Beach, Palm Beach County",26.3787913,-80.0688904,23.7,5.8,23.0,1018.3,False
2993,Unprovoked,surfing,M,50.0,"Hand & wrist bitten, tooth fragments in wound",N,1655,1.8 m [6'] shark ,30-Oct-1990,"USA Florida Melbourne Beach, Brevard County",28.0687742,-80.5595546,73.6,0.0,11.4,1021.9,False
2994,Unprovoked,surfing,M,18.0,Cuts on left foot ,N,1530,Not Determined,30-Oct-1990,"USA Florida Indialantic, Brevard County",28.0894599,-80.5656079,73.7,0.0,11.4,1021.9,False
2995,Unprovoked,swimming,M,26.0,Buttocks & hip bitten,N,2030,Not Determined,27-Oct-1990,AUSTRALIA Queensland Mermaid Waters,-28.047778,153.421667,68.6,0.02,10.3,1019.9,False
2996,Unprovoked,surfing,M,,Lacerations to foot,N,1030,Not Determined,25-Oct-1990,AUSTRALIA South Australia Goolwa Beach,-35.51414949999999,138.7654184,71.1,0.0,6.0,1020.6,False
2997,Unprovoked,surfing,M,25.0,Wrist bitten,N,1600,4' spinner shark,20-Oct-1990,"USA Florida North end of County Beach, Palm Beach County",26.6514503,-80.2767327,26.5,5.1,13.0,1015.3,False
2998,Unprovoked,surfing,M,43.0,"No Injury, board bitten",N,1500,"Tiger shark, 3.7 m [12'] ",15-Oct-1990,"USA Hawaii Hanalei Point, Kaua'i",22.2033221,-159.4977455,25.9,0.3,22.7,1017.3,False
2999,Unprovoked,surfing,M,19.0,Superficial injuries to left foot & ankle,N,1230,1.8 m to 2.4 m [6' to 8'] shark,12-Oct-1990,"USA Florida Stuart Beach, Martin County",27.2143933,-80.17502139999999,81.7,0.81,7.6,1008.5,False
3000,Unprovoked,spearfishing,M,26.0,Right hand lacerated,N,1320,5 m  [16.5'] white shark,15-Sep-1990,SOUTH AFRICA Western Cape Province Oudekraal,-34.25,19.6,56.5,0.0,5.7,1018.3,False
3001,Unprovoked,diving,M,49.0,"Shark rammed & overturned paddleboard, knocking him into water & bit his head, lacerating his face & neck",N,1300,White shark,08-Sep-1990,"USA California Russian Gulch, Jenner, Sonoma County",38.4710066,-123.1542683,68.1,0.0,9.4,1016.6,False
3004,Unprovoked,surfing,M,22.0,4 punctures on leg & board bitten,N,1650,5 m to 6 m [16.5' to 20'] white shark,28-Aug-1990,"USA California Trinidad Head, Humboldt County",41.05416659999999,-124.1505555,15.8,0.0,6.7,1019.3,False
3005,Unprovoked,surfing,M,,Minor cuts to foot,N,9999,Not Determined,19-Aug-1990,"USA Texas Mustang Island, Nueces County",27.7103944,-97.1628647,30.2,0.0,25.9,1015.2,False
3006,Unprovoked,fishing,M,18.0,Minor injury,N,1330,Not Determined,19-Aug-1990,"USA Texas Near Port Aransas, Nueces County",27.8339158,-97.0610994,30.2,0.0,25.9,1015.2,False
3008,Unprovoked,wading,F,53.0,10-inch laceration to right foot,N,1800,Not Determined,22-Jul-1990,"USA Texas Mustang Island State Park, Nueces County",27.6728474,-97.1765566,29.1,0.0,22.7,1014.2,False
3009,Unprovoked,surfing,M,17.0,Minor injury to left ankle & foot,N,9999,Not Determined,08-Jul-1990,"USA Florida Perdido Key near the Florida Panhandle, Escambia County",30.3035037,-87.42731719999999,28.8,0.0,9.7,1018.0,False
3010,Unprovoked,diving,F,21.0,"FATAL, thigh bitten  ",Y,1545,"4.5 m [14'9""] white shark",24-Jun-1990,SOUTH AFRICA Western Cape Province Mossel Bay,-34.1747356,22.0834066,54.6,0.0,6.8,1023.3,False
3012,Provoked,fishing,Not Determined,,"No injury to occupants, hooked shark freed itself, then rammed stern of boat PROVOKED INCIDENT",N,9999,"6 m, 600-kg shark",13-May-1990,SOUTH AFRICA KwaZulu-Natal Protea Reef,-30.8333333,30.4833333,69.3,0.0,2.5,1023.3,False
3013,Unprovoked,snorkeling,F,30.0,Lacerations,N,9999,2 m hammerhead,10-May-1990,AUSTRALIA Queensland Outer Barrier Reef near Port Douglas,-16.4844197,145.4606058,75.1,1.58,10.8,1012.2,False
3014,Unprovoked,holding,M,30.0,Lacerations,N,9999,2 m hammerhead,10-May-1990,AUSTRALIA Queensland Outer Barrier Reef near Port Douglas,-16.4844197,145.4606058,75.1,1.58,10.8,1012.2,False
3015,Unprovoked,resting,M,22.0,Thigh severely lacerated,N,1200,"5.5 m [18'] white shark, identified by witnesses & tooth marks",06-May-1990,SOUTH AFRICA Eastern Cape Province Cintsa East,-32.823269,28.1151939,64.9,0.0,3.6,1016.3,False
3016,Unprovoked,lying,M,23.0,Leg bitten,N,1400,"2.3 m [7.5'] white shark, identified by M. Smale",14-Apr-1990,SOUTH AFRICA Eastern Cape Province Cape Recife,-34.02088579999999,25.6944421,66.0,0.0,9.6,1015.7,False
3017,Unprovoked,surfing,M,31.0,"Lacerations & abrasions, board bitten in half",N,0540,"Tiger shark, 3 m ",09-Apr-1990,AUSTRALIA Queensland Greenmount Beach,-28.1639838,153.547601,72.8,0.05,6.4,1019.6,False
3018,Unprovoked,diving,M,37.0,Presumed FATAL,Y,9999,Not Determined,08-Apr-1990,"AUSTRALIA Queensland Dingo Reef, 80 nm off Townsville",-19.2589635,146.8169483,80.4,0.09,6.3,1012.5,False
3019,Unprovoked,surfing,M,,"No injury, board broken in two",N,9999,3 m shark,07-Apr-1990,AUSTRALIA Queensland Fingal Beach,-28.2008861,153.5658875,73.8,0.45,6.2,1018.2,False
3020,Unprovoked,surfing,M,29.0,"No injury, board bitten",N,9999,3 m shark,06-Apr-1990,AUSTRALIA Queensland Fingal Beach,-28.2008861,153.5658875,72.2,1.16,5.9,1015.8,False
3021,Unprovoked,sitting,M,,"Ankle lacerated, lower left leg severely abraded ",N,0730,Not Determined,01-Apr-1990,"USA Hawaii Silver (Silva) Channels, Waialua, O'ahu",21.5766667,-158.1302777,,0.3,9.7,,False
3023,Unprovoked,surfing,M,,Survived,N,1745,3 m [10'] bull shark,05-Mar-1990,REUNION Sainte-Marie Baie de la Mare,-20.8971572,55.53165749999999,81.4,0.0,2.7,1001.3,False
3024,Unprovoked,diving,M,,Right arm severed  FATAL,Y,2130,Two sharks seen in vicinity: 2.4 m & 4.25 m  [8' & 14'] TL,17-Feb-1990,"USA Hawaii Mokapu, Kane'ohe Marine Air Corps Station, O'ahu",21.444589,-157.7556372,21.9,2.0,20.2,1018.5,False
3025,Unprovoked,,M,33.0,Foot bitten,N,9999,Not Determined,05-Feb-1990,"USA Florida Monster Hole, Sebastian Inlet, Indian River County",27.860302,-80.4472737,,0.0,26.6,,False
3026,Unprovoked,surfing,M,,"No injury, board bitten",N,9999,3 m to 4 m [10' to 13'] white shark,12-Jan-1990,"USA California Montera Beach, San Mateo County",37.54688710000001,-122.5149481,12.9,24.1,21.2,1010.6,False
3028,Provoked,fishing,M,,Left leg & foot bitten  by shark brought onboard. PROVOKED INCIDENT,N,9999,Not Determined,19-Dec-1989,"USA Hawaii 90 miles east of Hilo, Hawai'i",19.7241106,-155.0868193,20.5,0.0,11.2,1014.8,False
3031,Unprovoked,surfing,M,32.0,Thigh bitten,N,9999,White shark,22-Nov-1989,AUSTRALIA Victoria Kilcunda,-38.5498,145.4761,70.5,0.0,12.0,1015.2,False
3032,Unprovoked,diving,M,29.0,FATAL,Y,1205,White shark,18-Nov-1989,SOUTH AFRICA Western Cape Province Melkbosstrand,-33.719294,18.4543113,61.3,1.08,9.7,1020.4,False
3034,Unprovoked,swimming,M,10.0,Left ankle broken & lacerated,N,9999,"2 m shark, possibly a bronze whaler",02-Nov-1989,AUSTRALIA Queensland Mermaid Waters,-28.047778,153.421667,65.6,0.87,8.4,1017.9,False
3036,Unprovoked,surfing,M,17.0,"No injury, board bitten",N,1420,2.7 m [9'] white shark,22-Oct-1989,AUSTRALIA Tasmania Shelly Point ,-41.4350928,148.2769946,54.1,0.0,7.7,1013.3,False
3038,Unprovoked,surfing,M,12.0,Foot & leg bitten,N,1800,4' shark,11-Oct-1989,USA Texas Surfside Beach,28.9516604,-95.2875474,71.4,0.0,6.4,1018.3,False
3041,Unprovoked,,M,29.0,Chest lacerated,N,1430,"White shark, identified by tooth pattern",17-Sep-1989,"SOUTH AFRICA Western Cape Province Smitswinkel, False Bay",-34.2640457,18.4658106,53.8,0.11,16.8,1012.5,False
3044,Unprovoked,diving,M,38.0,Leg bitten,N,1230,4 m to 5 m [13' to 16.5']  white shark,09-Sep-1989,"USA California Southeast Farallon Island, Farallon Islands",37.69891,-123.003361,59.2,0.0,11.7,1015.1,False
3045,Unprovoked,surfing,M,31.0,Non-fatal,N,9999,Sandbar shark,09-Sep-1989,"USA North Carolina Salvo, Dare County",35.54018,-75.4729347,,0.0,9.0,,False
3047,Provoked,feeding,M,30.0,Left leg bitten by captive shark                   PROVOKED INCIDENT,N,1800,Grey nurse shark,29-Aug-1989,AUSTRALIA Queensland SeaWorld Theme Park,28.409718,-81.4597107,83.0,0.0,5.2,1017.4,False
3048,Unprovoked,swimming,M,21.0,3 wounds on left hand,N,9999,1.2 m [4'] shark,22-Aug-1989,"USA Florida St Augustine, St Johns County",29.9012437,-81.31243409999999,81.2,0.23,10.4,1018.2,False
3049,Unprovoked,surfing,M,21.0,Multiple Injuries,N,1045,>3.4 m [11'] white shark,22-Aug-1989,SOUTH AFRICA Western Cape Province Mossel Bay,-34.1747356,22.0834066,60.3,0.0,5.7,1022.6,False
3050,Unprovoked,surfing,M,17.0,"No injury, shark took chunk out of surfboard",N,0630,"Bronze whaler shark, 3 m [10'] ",13-Aug-1989,AUSTRALIA New South Wales Lennox Head,-28.8,153.583333,55.7,0.0,7.6,1021.4,False
3051,Unprovoked,spearfishing,F,31.0,Severe hand and arm injuries; right hand surgically amputated,N,9999,Not Determined,09-Aug-1989,BAHAMAS Great Exuma Island Highborn Cay,24.7256721,-76.8187557,83.8,0.1,4.8,1016.0,False
3054,Unprovoked,surfing,M,34.0,Torso bitten,N,1035,2.5 m [8.25'] white shark,20-Jul-1989,SOUTH AFRICA Eastern Cape Province Jeffreys Bay,-34.0506714,24.9101544,54.7,0.11,9.4,1036.9,False
3055,Unprovoked,surfing,M,,FATAL,Y,170099999999,Not Determined,19-Jul-1989,REUNION Sainte-Suzanne Temple Tamoule,-20.9170397,55.630635,73.6,0.0,14.0,1019.7,False
3056,Unprovoked,surfing,M,16.0,5-inch gash on left leg,N,1800,Not Determined,14-Jul-1989,"USA Florida Cocoa Beach, Brevard County",28.3200067,-80.6075513,82.8,0.0,6.2,1016.2,False
3057,Unprovoked,playing,F,9.0,Leg bitten,N,9999,4' shark,07-Jul-1989,"USA Texas Sargent Beach, Matagorda County",28.8352564,-95.6646761,83.5,0.0,9.4,1019.1,False
3058,Unprovoked,fell,M,,Foot & ankle severely bitten,N,9999,Not Determined,29-Jun-1989,"USA Hawaii Anahola, Kaua'i",22.1452778,-159.3155556,25.7,1.0,26.6,1017.8,False
3060,Unprovoked,windsurfing,M,,Upper right thigh bitten,N,1530,3 m [10'] white shark,06-Jun-1989,"ITALY Tuscany Marinella, between Punta Blanca & Marine del Carrara ",43.9339772,10.226019,16.2,0.0,12.0,1010.6,False
3061,Unprovoked,surfing,M,16.0,"No injury, board bitten",N,1615,3 m [10'] white shark,05-Jun-1989,SOUTH AFRICA Eastern Cape Province Jeffreys Bay,-34.0506714,24.9101544,55.9,0.09,0.8,1028.6,False
3062,Unprovoked,,M,28.0,Forearm bitten,N,1530,2.5 m [8.25'] white shark,03-Jun-1989,SOUTH AFRICA Eastern Cape Province Gonubie,-32.9422838,28.0098257,53.4,0.0,8.8,1023.7,False
3064,Unprovoked,swimming,M,19.0,Right calf bitten,N,9999,1.2 m [4'] shark,23-Apr-1989,"USA Florida Loggerhead Park, Juno Beach, Palm Beach County",26.884925,-80.055979,23.0,0.0,15.1,1017.1,False
3065,Unprovoked,surfing,M,,Forearm bitten,N,1045,White shark,12-Apr-1989,"USA Washington Pacific Beach, Grays Harbor County",47.2088559,-124.2001611,49.6,0.0,5.9,1018.8,False
3067,Unprovoked,paddling,M,,Calf lacerated,N,9999,Not Determined,03-Apr-1989,"USA Hawaii Ho'okipa Beach, Pa'ia, Maui",20.9331087,-156.3585959,22.5,67.3,8.3,1013.6,False
3068,Unprovoked,paddling,M,,"Board rammed by shark, skegs knocked loose & 5' strip of fiberglass torn off, thigh scratched by sharks teeth",N,9999,Not Determined,Apr-1989,"USA Hawaii Kekaha Beach, Kaua'i",21.9684209,-159.7196382,72.7,0.19,15.9,1019.4,False
3069,Unprovoked,surfing,M,27.0,Thigh bitten FATAL,Y,2015,2 m [6.75'] white shark,09-Mar-1989,"AUSTRALIA South Australia Waitpinga Beach, near Victor Harbor, Encounter Bay",-35.5649415,138.5773037,79.2,0.39,8.0,1009.1,False
3072,Unprovoked,windsurfing,M,26.0,Foot bruised & minor lacerations,N,1330,Not Determined,15-Feb-1989,SOUTH AFRICA KwaZulu-Natal Richards Bay,-28.7807276,32.0382856,70.0,0.39,18.2,1012.2,False
3073,Unprovoked,swimming,M,47.0,FATAL. His body not recovered,Y,1025,6 m [20'] white shark,02-Feb-1989,"ITALY Tyrrhenian Sea Golfo di Baratti, near Piombino (Tuscany)",42.996111,10.506944,44.2,0.0,4.4,1033.4,False
3075,Unprovoked,kayaking,F,24.0,"FATAL, thigh bitten, hands lacerated  ",Y,1015,5 m [16.5'] white shark,26-Jan-1989,"USA California Latigo Point / Paradise Cove,west of Malibu, Los Angeles County",34.0197286,-118.7870238,14.6,0.0,18.7,1020.0,False
3076,Unprovoked,boarding,M,10.0,Foot bitten,N,9999,1.8 m to 2.4 m [6' to 8'] hammerhead shark,20-Jan-1989,"USA Hawaii Waialua Beach, Moloka'i",21.5832615,-158.140034,,0.0,11.2,,False
3077,Unprovoked,,M,19.0,Thigh bitten,N,1800,Not Determined,20-Jan-1989,SOUTH AFRICA KwaZulu-Natal Isipingo,-29.9825487,30.9216522,77.5,0.0,5.1,1008.8,False
3078,Unprovoked,disappeared,M,,"Lower part of body found 6 days later, x-rays revealed teeth marks in femur & tibia",Y,9999,Not Determined,08-Jan-1989,"USA Hawaii Wailua, Kaua'i",22.0522222,-159.3377778,23.9,1.3,30.2,1021.0,False
3079,Unprovoked,surfing,M,17.0,"Abdomen lacerated, surfboard holed",N,1715,"Tiger shark, 4 m [13'] ",03-Jan-1989,"AUSTRALIA New South Wales Half Tide Beach, Evans Head",-29.116408,153.4443498,74.4,0.08,10.4,1006.1,False
3082,Unprovoked,skindiving,M,,FATAL,Y,9999,16' white shark,15-Dec-1988,CHILE Valpariso Province Valpariso,-33.047238,-71.61268849999999,63.8,0.0,8.2,1012.8,False
3086,Unprovoked,surfing,M,21.0,Leg bitten & femur fractured,N,1730,5.5 m to 6 m [18' to 20']  white shark,23-Oct-1988,"USA Oregon Indian Beach, Ecola State Park, just north of Cannon Beach, Clatsop County ",45.91950910000001,-123.973612,9.7,0.0,11.5,1022.6,False
3087,Unprovoked,surfing,M,38.0,Lacerations to right leg,N,9999,7' shark,22-Oct-1988,AUSTRALIA Victoria Phillip Island,-38.4898703,145.2038278,55.1,0.11,14.2,1008.5,False
3088,Unprovoked,surfing,M,15.0,Lacerations to left thigh,N,9999,6' shark,14-Oct-1988,"USA Florida Boca Raton, Palm Beach County",26.3683064,-80.1289321,75.6,0.0,20.3,1021.0,False
3089,Unprovoked,surfing,M,30.0,Left leg lacerated,N,9999,1.2 m to 1.5 m [4' to 5'] shark,11-Oct-1988,"USA Florida Fort Pierce, St. Lucie County ",27.4467056,-80.3256056,,0.0,7.2,,False
3090,Unprovoked,surfing,M,23.0,Hand lacerated,N,1500,1.2 m to 1.5 m [4' to 5'] shark,10-Oct-1988,"USA Florida Playalinda, Brevard County",28.6555177,-80.6318287,71.2,0.0,7.5,1017.1,False
3091,Unprovoked,surfing,M,15.0,Lower right  leg lacerated,N,1800,Not Determined,06-Oct-1988,AUSTRALIA South Australia Moama Beach,-35.2163355,138.4751278,57.2,0.08,14.4,1017.3,False
3092,Unprovoked,wading,F,23.0,Leg lacerated,N,9999,1.2 m [4'] shark,Oct-1988,"USA Florida Sanibel Island, Lee County",26.4433972,-82.1115119,80.1,0.0,10.1,1015.7,False
3093,Unprovoked,surfing,M,21.0,Lacerations to foot,N,1800,5' shark,28-Sep-1988,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,,0.0,12.6,,False
3094,Unprovoked,diving,M,27.0,FATAL,Y,0800,Not Determined,21-Sep-1988,PAPUA NEW GUINEA New Ireland Between Nago and Makau,-3.33,152.0,81.6,0.0,5.7,1007.5,False
3095,Unprovoked,walking,F,,Dennis' hand injured; Ann's right forearm bitten,N,1545,1.8 m [6'] shark,13-Sep-1988,"USA Florida Shell Island Panama City Beach, Bay County",30.149728,-85.74786499999999,27.0,,8.2,1017.5,False
3096,Unprovoked,snorkeling,M,38.0,"FATAL, thigh & hand lacerated",Y,1500,3 m [10'] bull shark,13-Sep-1988,"USA Florida Shell Island Panama City Beach, Bay County",30.149728,-85.74786499999999,27.0,,8.2,1017.5,False
3097,Provoked,diving,M,,Arm bitten by captive shark PROVOKED INCIDENT,N,9999,"Tiger shark, 1.8 m [6']",22-Aug-1988,USA Louisiana New Orleans,29.95106579999999,-90.0715323,26.2,0.0,9.0,1015.2,False
3098,Unprovoked,no activity,M,16.0,Survived,N,9999,Not Determined,22-Aug-1988,ITALY Manfredonia  Ippocampo,41.5029623,15.9160171,77.7,1.22,5.1,1009.6,False
3099,Unprovoked,no activity,M,,Survived,N,9999,Not Determined,19-Aug-1988,JAPAN Tokyo Prefecture Ogasawara Islands,27.074353,142.2177824,81.2,0.0,8.7,1011.1,False
3100,Unprovoked,surfing,M,27.0,Thigh bitten,N,0930,2.4 m to 3 m [8' to 10'] white shark,11-Aug-1988,"USA California Klamath River, Del Norte County",41.7076287,-123.9659708,56.3,0.0,8.3,1011.5,False
3104,Unprovoked,swimming,F,15.0,Punctures & deep scratches to foot & buttock,N,1030,Not Determined,11-Jul-1988,"USA Florida Jensen Beach, Martin County",27.2544906,-80.22976969999999,83.7,0.11,9.7,1020.2,False
3105,Unprovoked,boarding,M,37.0,Punctures to lower left leg & foot,N,1800,Not Determined,04-Jul-1988,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,,0.0,16.9,,False
3108,Unprovoked,spearfishing,M,36.0,Left arm lacerated,N,0945,White shark,16-Jun-1988,SOUTH AFRICA Western Cape Province Sculphoek,-34.4206236,19.2079295,47.8,0.0,2.7,1029.2,False
3109,Unprovoked,diving,M,42.0,Survived,N,9999,Sandtiger shark,16-Jun-1988,"USA North Carolina Ocracoke, Hyde County",35.1146152,-75.9810097,75.0,0.0,4.3,1018.9,False
3110,Unprovoked,sittting,M,37.0,Left leg bitten,N,1600,Sand shark?,09-Jun-1988,"USA South Carolina Sea Pines Beach Club, Hilton Head, Beaufort County",32.125,-80.7866667,26.7,0.0,22.0,1007.7,False
3111,Unprovoked,swimming,M,12.0,Four lacerations to his ankle,N,1200,Not Determined,05-Jun-1988,"USA Florida Daytona Beach, Volusia County",29.2108147,-81.0228331,,19.3,15.1,,False
3112,Unprovoked,surfing,M,25.0,Cuts to right foot and ankle,N,0857,1.8 m to 2.4 m [6' to 8'] shark,01-Jun-1988,"USA Florida Daytona Beach, Volusia County",29.2108147,-81.0228331,,0.0,10.8,,False
3114,Unprovoked,surfing,M,31.0,Left foot bitten,N,1500,Not Determined,10-May-1988,"USA Florida Paradise Beach Park, Brevard County",28.1224397,-80.5760513,72.3,0.0,9.0,1019.3,False
3115,Unprovoked,surfing,M,29.0,Left leg & right foot bitten,N,1145,Not Determined,04-May-1988,"USA Florida Melbourne Beach, Brevard County",28.0687742,-80.5595546,74.5,0.0,9.8,1017.9,False
3117,Unprovoked,surfing,M,,No Injury,N,9999,White shark,24-Apr-1988,"USA California North of Morro Rock, San Luis Obispo County",35.3694186,-120.8676799,54.7,0.16,6.5,1021.6,False
3118,Unprovoked,swimming,M,24.0,Lacerations to left foot,N,1845,Not Determined,15-Apr-1988,"USA Florida Singer Island, Riviera Beach, Palm Beach County",26.767379,-80.0699693,20.2,0.0,15.5,1019.8,False
3120,Unprovoked,surfing,M,14.0,Right hand bitten,N,9999,Not Determined,14-Apr-1988,"USA Florida Singer Island, Riviera Beach, Palm Beach County",26.767379,-80.0699693,18.5,0.0,14.0,1018.1,False
3121,Unprovoked,windsurfing,M,,"6"" laceration to left foot",N,9999,Not Determined,14-Apr-1988,"USA Florida Singer Island, Riviera Beach, Palm Beach County",26.767379,-80.0699693,18.5,0.0,14.0,1018.1,False
3123,Unprovoked,standing,F,30.0,Foot bitten,N,9999,Not Determined,31-Mar-1988,"USA Florida Singer Island, Riviera Beach, Palm Beach County",26.767379,-80.0699693,23.1,0.0,29.5,1020.8,False
3124,Unprovoked,surfing,M,,Ankle bitten,N,9999,Not Determined,25-Mar-1988,"USA Hawaii Running Waters Beach, Ninini Point, Kaua'i",21.9587975,-159.3416888,22.8,3.3,15.5,1013.8,False
3125,Unprovoked,surfing,M,17.0,"Lower left leg bitten, hand lacerated",N,1645,1.5 m to 2 m [5' to 6.75'] shark,16-Mar-1988,SOUTH AFRICA KwaZulu-Natal Isipingo,-29.9825487,30.9216522,79.0,0.04,4.6,1009.8,False
3126,Unprovoked,surfing,M,,Laceration to hand,N,150099999999,Not Determined,14-Mar-1988,REUNION Saint-Pierre Pic du Diable,-21.3298054,55.4516029,81.9,0.16,18.4,1011.4,False
3128,Unprovoked,surfing,M,20.0,Ankle bitten,N,1700,"1 m ""grey-colored"" shark",14-Feb-1988,SOUTH AFRICA Eastern Cape Province Nahoon,-32.9869161,27.9380809,75.5,0.0,12.0,1008.0,False
3129,Unprovoked,lying,F,15.0,"Leg bitten, surgically amputated",N,0740,Zambezi shark (tooth fragments recovered),13-Feb-1988,SOUTH AFRICA KwaZulu-Natal Mtunzini,-28.9596737,31.7500778,78.4,0.0,5.3,1013.3,False
3135,Provoked,attempting,M,33.0,Foot lacerated by hooked shark PROVOKED INCIDENT,N,1115,1.5 m copper shark,06-Jan-1988,SOUTH AFRICA Western Cape Province Struisbaai,-34.80678200000001,20.0469,65.9,0.04,18.2,1017.2,False
3139,Unprovoked,surfing,M,16.0,Left calf bitten,N,1300,1.8 m [6'] blacktip shark,17-Dec-1987,"USA Florida Palm Beach, Palm Beach County",26.6514503,-80.2767327,12.3,0.0,21.2,1022.0,False
3141,Unprovoked,surfing,M,15.0,Leg lacerated,N,9999,Not Determined,21-Nov-1987,"USA Florida North of Jupiter Inlet, Palm Beach County",26.9478705,-80.07444579999999,15.1,0.0,24.8,1021.0,False
3143,Unprovoked,surfing,M,20.0,Buttock & leg bitten,N,1700,2 m [6.75'] shark,26-Oct-1987,"USA California Davenport Light, San Mateo County",37.5420501,-122.3028525,19.4,0.0,5.4,1019.1,False
3145,Unprovoked,spearfishing,M,21.0,Left thigh & calf lacerated,N,1215,White shark,11-Oct-1987,"SOUTH AFRICA Western Cape Province Seal Island, False Bay",-34.1373395,18.5824944,59.3,0.14,9.0,1018.4,False
3147,Unprovoked,diving,M,47.0,FATAL,Y,9999,White shark,18-Sep-1987,"AUSTRALIA South Australia Merino Rocks, Adelaide",-35.046169,138.512752,66.2,0.0,15.4,1015.8,False
3148,Unprovoked,surfing,M,24.0,Torso lacerated,N,1100,3.5 m [11.5']  white shark,13-Sep-1987,SOUTH AFRICA Western Cape Province Still Bay,-34.3642194,21.4335508,60.4,0.08,5.4,1015.6,False
3149,Unprovoked,wading,M,12.0,Lower left leg lacerated,N,1130,1.2 m to 1.5 m [4' to 5'] shark,20-Aug-1987,"USA Florida Satellite  Beach, Brevard County",28.1761233,-80.59005189999999,83.7,0.0,7.4,1018.4,False
3150,Unprovoked,surfing,M,40.0,Fingers & surfboard injured,N,0730,5.7 m white shark,15-Aug-1987,"USA California Tunitas Beach, San Mateo County",37.3577202,-122.3999742,17.3,0.0,16.6,1014.7,False
3151,Unprovoked,surfing,M,27.0,Right foot & ankle lacerated,N,0915,3' to 4' shark,21-Jul-1987,"USA Florida Ponce Inlet, New Smyrna Beach, Volusia County",29.0963729,-80.9369983,,0.0,9.0,,False
3152,Unprovoked,surfing,F,32.0,Left foot bitten,N,1500,4' shark,12-Jul-1987,"USA Texas Mustang Island, near Port Aransas",27.8339158,-97.0610994,28.2,0.0,20.9,1014.7,False
3153,Unprovoked,wading,F,16.0,Puncture wounds to right foot,N,1430,4' shark,12-Jul-1987,"USA Texas Mustang Island, near Port Aransas",27.8339158,-97.0610994,28.2,0.0,20.9,1014.7,False
3155,Unprovoked,snorkeling,M,35.0,Right leg bitten,N,1330,Not Determined,09-Jul-1987,BAHAMAS Exuma Islands Sampson Cay,24.2122708,-76.4772748,84.4,0.0,7.5,1018.8,False
3157,Provoked,fishing,M,,Left hand bitten by shark he was dragging ashore by its head PROVOKED INCIDENT,N,1800,1.5 m [5'] blacktip shark,13-Jun-1987,"USA Florida Nest Key, Monroe County",25.1487348,-80.5070041,81.7,0.08,11.5,1018.5,False
3158,Unprovoked,no activity,M,12.0,"6"" cut to thigh",N,9999,1.5 m to 1.8 m [5' to 6'] shark,25-May-1987,"USA South Carolina Myrtle Beach, Horry County",33.6890603,-78.8866943,24.0,,5.9,1021.3,False
